,lower Modal_Price,upper Modal_Price
2017-06-01,927.2620341335755,3531.698006514837
2017-07-01,413.51492031810267,3900.5115012267943
2017-08-01,222.20863928486824,4277.309143058295
2017-09-01,56.18927939623154,4514.779929490405
2017-10-01,-71.88208915257565,4687.287107803881
2017-11-01,-191.03531128443183,4798.722289507441
2017-12-01,-275.2124748231113,4895.127524642601
2018-01-01,-947.4463886376652,4366.604287589033
2018-02-01,-1056.1578111893289,4373.907258395211
2018-03-01,-1126.5293581093065,4398.704986002145
2018-04-01,-1114.5520901318775,4491.670929997919
2018-05-01,-1158.6648456432788,4534.146570640446
2018-06-01,-658.324274626722,5102.228591931189
2018-07-01,-749.757200433301,5069.401914603079
2018-08-01,-695.0868401491689,5174.651124338414
2018-09-01,-686.0016510165433,5227.33303447651
2018-10-01,-685.542284955045,5265.356647231468
2018-11-01,-704.9440662486595,5278.3392635048995
2018-12-01,-713.5784494393843,5297.680257987457
2019-01-01,-1242.1058323402099,4793.44412680311
